step,len_top_returned,mass_k40,mass_k100,mass_k128,p_chosen_in_top
175,128,0.999686284,0.999880996,0.999906217,0.898238121
176,128,0.999717435,0.999880754,0.999905107,0.789211452
177,128,0.999261681,0.999733905,0.999798383,0.914496544
178,128,0.99940638,0.999749027,0.999797855,0.689617028
179,128,0.999424504,0.999696001,0.999747053,0.789687153
180,128,0.999923056,0.999965676,0.999973757,0.818183835
181,128,0.999950268,0.999975179,0.999980321,0.98572725
182,128,0.999909611,0.999964525,0.999974018,0.871293007
183,128,0.999929046,0.999974349,0.999980841,0.847692554
184,128,0.999820781,0.999915653,0.999933174,0.777714243
185,128,0.999985474,0.999996189,0.999998221,0.972149849
186,128,0.9998543,0.999951106,0.999965553,0.728261776
187,128,0.994934945,0.998440134,0.998797072,0.78082496
188,128,0.999496622,0.999841679,0.999878241,0.946879267
189,128,0.999977019,0.99999206,0.999995026,0.976873934
190,128,0.999984437,0.999995577,0.999997924,0.998169422
191,128,0.999842122,0.999932509,0.999946333,0.742563795
192,128,0.999744162,0.999903345,0.999928007,0.701858755
193,128,0.998948685,0.999524996,0.999615089,0.714032648
194,128,0.999948883,0.999975571,0.999980946,0.849181231
195,128,0.999991269,0.999998616,0.999999932,0.999808013
196,128,0.999943327,0.999975718,0.999981621,0.989941418
197,128,0.999779327,0.999927464,0.999948693,0.74073911
198,128,0.983169887,0.995686941,0.996951536,0.336461822
199,128,0.99628654,0.999073952,0.999323163,0.490618545
200,128,0.96431257,0.991294906,0.993807943,0.234180322
201,128,0.985353528,0.995700333,0.996771989,0.403407715
202,128,0.998712873,0.999611364,0.999708311,0.451493327
203,128,0.998316744,0.999371572,0.999531823,0.564348341
204,128,0.997910921,0.999227072,0.999408903,0.848391534
205,128,0.999957321,0.999984309,0.999989033,0.987507761
206,128,0.999973124,0.999991702,0.999994867,0.994869709
207,128,0.999771122,0.999875267,0.999895933,0.503810817
208,128,0.999994341,1.00000049,1.000001214,0.999371469
209,128,1.000000267,1.000000303,1.000000308,0.999999166
210,128,1.000000154,1.00000094,1.000001045,0.999960423
211,128,0.99940749,0.999721823,0.999773589,0.419538338
212,128,0.999571778,0.999791029,0.999827846,0.865615781
213,128,0.999970073,0.999987479,0.999991336,0.990696549
214,128,0.999971162,0.999990528,0.999994305,0.98981899
215,128,0.999996515,1.000000202,1.000000923,0.999322653
216,128,1.00000012,1.000001376,1.000001537,0.999954104
217,128,0.999584826,0.999767719,0.999805776,0.788809592
218,128,0.999971171,0.999991004,0.999994492,0.996641874
219,128,0.999996664,1.000000162,1.000000817,0.999838471
220,128,1.000000528,1.000000724,1.000000745,0.999995351
221,128,1.000000243,1.000001402,1.000001557,0.999982595
222,128,0.999976763,0.999993465,0.999996439,0.946493804
223,128,0.989086864,0.996829623,0.997534417,0.292317452
224,128,0.999999408,1.000001573,1.000001959,0.999698997
225,128,0.999927294,0.999982317,0.999988679,0.859247151
226,128,1.000000283,1.000000717,1.0000008,0.999873877
227,128,1.000000748,1.000000889,1.000000911,0.999932647
228,128,0.999996886,1.000000069,1.000000659,0.997068942
229,128,0.999967661,0.99998698,0.999991263,0.996035993
230,128,1.000000129,1.000000149,1.00000015,0.999990821
231,128,0.999895569,0.999953991,0.999963585,0.807225887
232,128,0.999995948,1.000000499,1.000001505,0.999347866
233,128,1.000000272,1.000000314,1.000000321,0.999998212
234,128,0.999999645,1.000000703,1.000000807,0.994675756
235,128,1.000000341,1.000000467,1.000000486,0.999962807
236,128,1.000000318,1.000000412,1.000000422,0.999990463
237,128,0.999998978,1.000001359,1.000001756,0.997249901
238,128,0.999999809,1.000001521,1.000001892,0.998767614
239,128,1.000000346,1.000000353,1.000000354,0.999996662
240,128,0.999952673,0.999984907,0.999989523,0.857733006
241,128,0.971674942,0.990574575,0.992664779,0.204109592
242,128,0.995161692,0.998678541,0.99901224,0.343500798
243,128,0.999875667,0.999947746,0.999960975,0.937042953
244,128,0.999961896,0.999985506,0.999990201,0.98920691
245,128,0.997936952,0.999058959,0.999235697,0.438745696
246,128,0.998271089,0.999265871,0.999423198,0.708285746
247,128,0.999972219,0.999990962,0.99999434,0.993029535
248,128,0.99981997,0.999930755,0.999948501,0.960865559
249,128,0.999947845,0.99998497,0.999990559,0.996441662
250,128,0.999900911,0.999954814,0.999965267,0.646837244
251,128,1.000000206,1.000000932,1.000001075,0.807840819
252,128,1.000000541,1.000001814,1.000002012,0.999879837
253,128,0.99999967,1.000000681,1.000000856,0.999955773
254,128,0.999918141,0.999975266,0.999982611,0.868272489
255,128,0.999892215,0.999957259,0.99996728,0.591958955
256,128,0.999960927,0.999983509,0.999988219,0.991839528
257,128,1.000000472,1.00000063,1.000000662,0.999989867
258,128,0.999994234,0.999999711,1.00000066,0.903972564
259,128,0.99999736,1.00000127,1.00000181,0.999826491
260,128,1.000000461,1.000000506,1.000000512,0.999998927
261,128,0.999987454,0.999998486,0.999999793,0.670135319
262,128,1.000000123,1.00000015,1.000000153,0.999996543
263,128,0.999995526,1.000000516,1.00000106,0.944144726
264,128,1.000000202,1.000001092,1.000001243,0.999960542
265,128,0.999999772,1.00000132,1.000001613,0.999807656
266,128,1.000000155,1.000000171,1.000000174,0.99999702
267,128,1.000000545,1.000001627,1.000001815,0.999945402
268,128,1.000000669,1.000000757,1.000000765,0.999993324
269,128,0.999997195,1.000000883,1.000001465,0.977767289
270,128,1.000000551,1.000000869,1.000000922,0.999983311
271,128,1.0000001,1.000000138,1.000000143,0.999978304
272,128,1.000000388,1.000000412,1.000000415,0.999997497
273,128,1.000000437,1.000000558,1.000000576,0.999846101
274,128,1.000000164,1.000000183,1.000000185,0.999985695
275,128,1.000000341,1.000000552,1.000000581,0.999985337
276,128,0.999999972,1.000000939,1.000001028,0.988561213
277,128,1.000000692,1.000001144,1.000001227,0.999977589
278,128,0.99998903,0.999999555,1.00000034,0.746956221
279,128,0.969373067,0.990856272,0.993648428,0.31081007
280,128,0.999735482,0.99988688,0.999909135,0.917459133
281,128,0.998661745,0.999460393,0.999566861,0.596222581
282,128,0.994324681,0.998547106,0.998910862,0.318976233
283,128,0.999535828,0.999764195,0.999808215,0.984381556
284,128,1.000000476,1.000001122,1.000001265,0.999974728
285,128,0.999984628,0.999998378,1.000000346,0.99904412
286,128,0.999781034,0.999906432,0.999922834,0.970490933
287,128,0.999999522,1.000001615,1.000002014,0.999936581
288,128,0.999999499,1.000000957,1.00000112,0.990642726
289,128,1.000000738,1.000001013,1.000001047,0.999987125
290,128,0.999997015,1.000000589,1.000000919,0.889182864
291,128,1.000000637,1.000000858,1.000000885,0.999985099
292,128,1.000000608,1.000000766,1.00000079,0.99998641
293,128,1.000000564,1.00000081,1.000000849,0.999993086
294,128,1.000000347,1.000000425,1.000000438,0.99995029
295,128,1.000000693,1.000000805,1.00000082,0.999977589
296,128,0.999999346,1.000000744,1.000000951,0.999952912
297,128,0.999999675,1.000000185,1.000000232,0.995828211
298,128,0.999998843,1.00000086,1.000001166,0.999929547
299,128,0.999992713,1.000000916,1.00000125,0.479857038
300,128,1.000000393,1.000001275,1.000001465,0.999910951
301,128,0.999009035,0.999696948,0.99977794,0.597279981
302,128,0.988788521,0.995726,0.996917883,0.435511802
303,128,0.995208858,0.998250592,0.998720289,0.44110929
304,128,0.998944695,0.999713277,0.999785598,0.476650679
305,128,0.999832898,0.999922991,0.99994193,0.949237762
306,128,0.999895865,0.999957643,0.99996788,0.987970412
307,128,0.995117263,0.99878661,0.999088647,0.512497852
308,128,0.998129417,0.999336619,0.999505362,0.823741376
309,128,0.996311819,0.998459638,0.998723181,0.564977651
310,128,0.993874631,0.9979209,0.998435379,0.616631982
311,128,0.967767556,0.991487603,0.99411276,0.506691882
312,128,0.996108876,0.999016429,0.999291571,0.644746062
313,128,0.946919647,0.985562819,0.989738982,0.334048116
314,128,0.965378456,0.986366388,0.989194075,0.269009863
315,128,0.997576628,0.998838405,0.999049789,0.843555449
316,128,0.991478765,0.996326143,0.997089059,0.309581987
317,128,0.999868071,0.999940489,0.999951382,0.822969438
318,128,1.000000435,1.00000071,1.000000751,0.999986291
319,128,0.99478091,0.998262452,0.99867319,0.613699309
320,128,0.999830101,0.999919936,0.999938257,0.982567608
321,128,1.000000411,1.000001023,1.000001127,0.99995935
322,128,0.999908578,0.999957108,0.999967415,0.985572874
323,128,0.999992831,0.999998949,1.000000185,0.999576509
324,128,1.000000214,1.000000548,1.000000594,0.999976158
325,128,0.997788777,0.999299703,0.999463536,0.809097708
326,128,0.998953528,0.999533397,0.999623311,0.730003117
327,128,0.999994487,0.999999738,1.000000647,0.844066082
328,128,0.99996197,0.999988753,0.999992584,0.989808678
329,128,0.994917013,0.998653041,0.999000012,0.310061349
330,128,0.959365207,0.987683216,0.99147625,0.395858338
331,128,0.968473033,0.990502894,0.993405801,0.578933835
332,128,0.99909623,0.999780945,0.999852362,0.734513349
333,128,0.986778279,0.99611445,0.997214121,0.258595291
334,128,0.995938938,0.998738234,0.999060316,0.417304355
335,128,0.992022219,0.997046721,0.997769787,0.354420104
336,128,0.968609378,0.991342696,0.993697041,0.222098377
337,128,0.988302385,0.996618546,0.997502364,0.251461319
338,128,0.960401472,0.985765585,0.989382327,0.205633408
339,128,0.992993521,0.997647996,0.998243964,0.685756868
340,128,0.997662851,0.999079226,0.999267186,0.349327079
341,128,0.976861072,0.993375333,0.995421283,0.271717795
342,128,0.950647222,0.987519822,0.990765495,0.254166186
343,128,0.994924512,0.998887821,0.999156101,0.443954431
344,128,0.945905102,0.983816019,0.988347375,0.189408543
345,128,0.990440673,0.995854915,0.996770596,0.524913009
346,128,0.962784948,0.988186923,0.991298272,0.299471888
347,128,0.954490676,0.987114941,0.990525817,0.28468276
348,128,0.965498741,0.991984453,0.994199809,0.42325821
349,128,0.993588091,0.998544497,0.998942077,0.404886009
350,128,0.931353527,0.982172039,0.987937855,0.131893229
351,128,0.874128226,0.941985841,0.954693643,0.26177525
352,128,0.96689979,0.990883904,0.993135068,0.353498687
353,128,0.996432473,0.998950852,0.999234958,0.413818382
354,128,0.998135758,0.99924833,0.999392792,0.783593717
355,128,0.995274636,0.99815961,0.998546179,0.899688663
356,128,0.983163127,0.994408793,0.995660104,0.2539672
357,128,0.998426073,0.99944811,0.999594316,0.88912511
358,128,0.991073169,0.996071468,0.996772175,0.526963817
359,128,0.988593642,0.99650513,0.997260435,0.337516101
360,128,0.96446543,0.990880929,0.993702707,0.129411802
361,128,0.997738207,0.999206173,0.999415762,0.847155566
362,128,0.994840362,0.998169046,0.998634801,0.314648807
363,128,0.999977324,0.999990813,0.999993662,0.995687544
364,128,0.940273681,0.971201546,0.976649642,0.216507797
365,128,0.955214118,0.978625763,0.982212351,0.481986801
366,128,0.910508392,0.942209762,0.950322308,0.671831793
367,128,0.969788064,0.981837915,0.983999381,0.515717031
368,128,0.999498149,0.999727532,0.999773707,0.993117452
369,128,0.993243925,0.996664417,0.997191596,0.664072278
370,128,0.999514161,0.999796877,0.999828127,0.928031561
371,128,0.983439393,0.994064538,0.995527825,0.568668308
372,128,0.993021811,0.997343064,0.997898382,0.294629092
373,128,0.997223189,0.998697138,0.998964252,0.617430872
374,128,0.996868319,0.998773582,0.999063435,0.773594857
375,128,0.998270207,0.999379444,0.999541233,0.949219763
376,128,0.998763605,0.999506245,0.999605138,0.881584105
377,128,0.999365991,0.999784724,0.999836845,0.710278088
378,128,0.999844684,0.999937964,0.999952817,0.99684155
379,128,0.999640695,0.999821282,0.999857206,0.899952231
380,128,0.999800642,0.99992104,0.99993852,0.847561297
381,128,0.99970949,0.999835918,0.999858975,0.864476198
382,128,0.999891555,0.999943957,0.999953794,0.556090461
383,128,0.999626101,0.999853177,0.999885311,0.574652192
384,128,0.998845197,0.999533477,0.99964096,0.867684605
385,128,0.999770339,0.999861359,0.999882277,0.585780155
386,128,0.999457342,0.99969733,0.999751241,0.984950423
387,128,0.999672528,0.999862876,0.999897173,0.927313028
388,128,0.999958825,0.999979992,0.999984568,0.964356661
389,128,0.99930606,0.999614963,0.999665976,0.885881605
390,128,0.999372123,0.999788718,0.999838938,0.843724733
391,128,0.992243379,0.998450923,0.998979943,0.521922707
392,128,0.990223005,0.998493382,0.998979584,0.352703468
393,128,0.999480395,0.999839074,0.999876689,0.701806485
394,128,0.999777819,0.999914249,0.999934077,0.995357096
395,128,0.998081122,0.99942154,0.999595864,0.486971831
396,128,0.994388339,0.998264552,0.998692719,0.374018553
397,128,0.966671182,0.990618883,0.993579215,0.372350447
398,128,0.995440712,0.999004603,0.999313798,0.759166187
399,128,0.957129416,0.989692395,0.993307399,0.166095459
400,128,0.915503361,0.960048778,0.968573335,0.299844576
401,128,0.94901788,0.980026546,0.984447149,0.288112618
402,128,0.998893894,0.999602145,0.999689173,0.944199027
403,128,0.997143432,0.998887149,0.999091213,0.573123646
404,128,0.999334109,0.999816851,0.999863096,0.465802691
405,128,0.999937858,0.999985789,0.999991234,0.921327653
406,128,0.999942084,0.999975317,0.999981628,0.999260128
407,128,0.99988172,0.999949761,0.999961515,0.994916558
408,128,0.999998274,1.000000588,1.00000092,0.996904552
409,128,1.000000643,1.000001249,1.000001347,0.999976873
410,128,1.000000466,1.00000118,1.000001264,0.994350135
411,128,0.999987348,0.999999032,1.000000066,0.833945866
412,128,0.987658132,0.996850763,0.997757564,0.434357946
413,128,0.995652981,0.998025307,0.998434821,0.29746432
414,128,0.998831961,0.999351628,0.999443533,0.554827394
415,128,0.993902771,0.997164104,0.997596735,0.605632585
416,128,0.992145016,0.997232469,0.997852406,0.561597475
417,128,0.999813523,0.999939912,0.999956663,0.956176399
418,128,0.998972492,0.999414139,0.999494165,0.875419616
419,128,0.994348059,0.998026005,0.998504778,0.260453527
420,128,0.996900084,0.99869525,0.998959421,0.738247097
421,128,0.999939215,0.999977956,0.999983618,0.998320401
422,128,0.999967308,0.999994498,0.999997196,0.900559307
423,128,0.998761141,0.999564597,0.999668003,0.825819141
424,128,0.994018272,0.99837685,0.998772657,0.376188068
425,128,0.995588526,0.998051889,0.99845785,0.501412325
426,128,0.994142907,0.998391686,0.998791022,0.798004096
427,128,0.999787571,0.999916961,0.999934757,0.863890833
428,128,0.999944651,0.999980492,0.999985964,0.996153653
429,128,0.995564293,0.99845571,0.998799853,0.347859298
430,128,0.995015122,0.99833935,0.998853856,0.341124095
431,128,0.985800767,0.995901444,0.996948925,0.686368415
432,128,0.99802634,0.999309907,0.999468685,0.29080737
433,128,0.985901517,0.994294464,0.995634046,0.224176651
434,128,0.997053991,0.999128221,0.999356756,0.225305336
435,128,0.997748784,0.998848781,0.999041696,0.385538136
436,128,0.997079651,0.998616503,0.998849237,0.584132836
437,128,0.996892391,0.998947928,0.999192144,0.88628954
438,128,0.999872605,0.999929571,0.999942668,0.913997827
439,128,0.995728377,0.998266222,0.998672997,0.426839274
440,128,0.999241649,0.99949152,0.999550395,0.582462063
